Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
Orange Civic Theatre,-33.28140950021562,149.10278676941653,New South Wales,Public - Membership Required,FREE
Bathurst Visitor Information Centre,-33.41885926313673,149.58885077913237,New South Wales,Public - Membership Required,60c / 54c for NRMA Members
Elizabeth City Centre,-34.71700199965215,138.67008809690134,South Australia,Public,Free
Largs Bay Kiosk  ,-34.82513183698616,138.48644726116333,South Australia,Public - Membership Required,$0.25 per kWh
"JOLT Charge Charging Station, Port Rd & Webber St",-34.85632286641643,138.5108515299687,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
"JOLT Charge Charging Station, Port Rd & Cross St",-34.85975657562122,138.51286930207573,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
"JOLT Charge Charging Station, Port Rd & Sussex St Parking",-34.86088589620734,138.51357488992744,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
"JOLT Charge Charging Station, Port Rd and Oval Ave Parking Lot",-34.88273635973035,138.5382560926223,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
"JOLT Charge Charging Station, Port Road and South Road",-34.90257639905725,138.56808664880919,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
JOLT Charge Charging Station Port Road & Mary St,-34.906046821499956,138.57331633553872,South Australia,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
JOLT Charge Charging Station,-34.993301100409724,138.55605097847615,Park Holme,Public - Membership Required,Free 7kWh every 24 hrs - pay $0.42 per kWh after 7kWh. Need the Jolt app.
"JOLT Charge Charging Station, Diagonal Rd & Finniss St Parking Lot",-35.01730838,138.5496564,SA ,Public - Membership Required,"0.00/kWh for 0.0-7.0 kWhs + 0.42/kWh after 7.0 kWhs + While parked, not charging: 5.00/hr after 15 mins"
Shepparton Observation Tower,-36.38020636184123,145.40022900912237,VIC ,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
CTR Mooroopna,-36.394569210184976,145.35971328556263,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
CTR Whittlesea,-37.51050054135484,145.11840794982265,Victoria,Public - Membership Required,"0.40/kWh + While parked, not charging: 4.00/hr after 60 mins"
Klemzig Community Hall,-34.87572488834278,138.63146894360875,South Australia,Public - Membership Required,"Payment Required First 7kWh free, then $0.42 per kWh thereafter. One free 7kWh allowance per 24 hours. Jolt Electric Vehicle Charging app required to activate."
North East Rd & Fosters Rd Parking Lot,-34.871001175731514,138.63722023174773,South Australia,Public - Membership Required,"Payment Required First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
Newton Road & Hambledon Road Parking Lot,-34.87927540158708,138.67345957548423,South Australia,Public - Membership Required,Cost information not available
ARC Campbelltown,-34.88522639,138.6589639,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.42 per kWh after 7kW. Need the JOLT app
JOLT Charge Charging Station,-34.88844859,138.6729899,South Australia,Public - Membership Required,"0.00/kWh for 0.0-7.0 kWhs + 0.42/kWh after 7.0 kWhs + While parked, not charging: 5.00/hr after 15 mins"
Montacute Rd Parking Lot,-34.88767562172659,138.68894627441523,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.44 per kWh after 7kW. Need the JOLT app
Tasco Caltex Tailem Bend Roadhouse,-35.24011,139.44043,South Australia,Public - Membership Required,65c per kWh energy consumed.
Murray Bridge Marketplace,-35.120564441564056,139.27705518334403,South Australia,Public - Membership Required,$0.40/kWh (at all times)
Nelson St Parking/Charging,-36.332766383204394,141.64971116860374,Victoria,Public,Free
Tesla HPWC Destination Stations,-33.95063253619356,115.0753751366716,Western Australia,Public,Free
Margaret River Tesla Supercharger,-33.950608094573674,115.07535449708394,Western Australia,Public - Membership Required,Supercharger rates
Muja Power Station,-33.445938982545556,116.30230838389622,Western Australia,Public,Free
Woolworths Bomaderry,-34.84424980817623,150.5957047714145,New South Wales,Public - Membership Required,FREE
NRMA Olympic Park,-33.84605079570373,151.06985459321334, NSW,Public,Free
Alford Street Carkpark,-26.539845251946076,151.8401208694786,QueensLand,Public - Membership Required,Cost information not available
Tesla Supercharger South Village,-34.033063649505685,151.07388271966875,New South Wales,Public - Membership Required,$0.52/kWh
Kay Brothers Winery,-35.183475,138.562114,South Australia,Public,Cost information not available
NRMA Bega,-36.672816817377345,149.843298364681,New South Wales,Public - Membership Required,FREE
Stewart Street Carpark [NRMA],-34.42839437417402,150.9002218527666,New South Wales,Public,FREE
Evie Lane Cove,-33.81396420883535,151.16927647670855,New South Wales,Public - Membership Required,$0.40/kWh
Evie Mosman,-33.82544433087931,151.24146564876457,New South Wales,Public - Membership Required,$0.40/kWh
"Evie Caddens Corner, Kingswood. ",-33.76884540471722,150.73565759781445,New South Wales,Public - Membership Required,DC $0.40/kWh AC $0.35/kWh
Coles Schofields,-33.706161447313946,150.87557080542024,New South Wales,Public - Membership Required,$0.40/kWh
Evie Cabramatta,-33.89880022738458,150.91994378105392,New South Wales,Public - Membership Required,$0.40/kWh
Bankstown [Evie],-33.93201456375411,151.03015532131081,New South Wales,Public - Membership Required,$0.40/kWh
Devonport Supercharger,-41.17996296543798,146.36733778871076,Tasmania,Public - Membership Required,$0.52/kWh
Evie Networks - Westbury,-41.52579826718715,146.845108555965,Tasmania,Public - Membership Required,60c/kWh
Caiguna Roadhouse,-32.270905524317335,125.48817309652998,Western Australia,Public - Notice Required,Cost information not available
Audi Centre Sydney ,-33.906943843362484,151.2131655272031,New South Wales,Public - Membership Required,$0.70/kWh
Collingwood Library,-37.80446562888998,144.99324369474311,Victoria,Public - Membership Required,$0.40/kWh
Woolworths Kireawee,-34.03429800987962,151.0734299224497, NSW ,Public - Membership Required,FREE
McDonalds Southern River ,-32.10072552959724,115.96427117228632,Western Australia,Public - Membership Required,$0.20 per kWh
NRMA Jerilderie,-35.3544948219656,145.72500535480856,New South Wales,Public,FREE
CTR Echuca [Evie],-36.127317,144.748147,Victoria,Public - Membership Required,$0.40
Cann River [Evie],-37.565838504942874,149.15095912208483,Victoria,Public - Membership Required,$0.40
Kensington [Jolt],-33.907070570863254,151.22409119211284,New South Wales,Public - Membership Required,$0.00/kWh up to 7 kWh then $0.40/kWh
Snowy River Ave Car Park,-36.41589877494651,148.61978170531108,New South Wales,Public,Chargers free of charge for now but will require you to be a member in the future or you will need to pay per charge.
Karringup Center,-31.877115379032254,115.77668949000957,Western Australia,Public,Free
Tailem Bend Supercharger,-35.304008524281684,139.5011617693483,South Australia,Public - Membership Required,$0.52/kWh
Bru4U Geelong ,-38.1722195376013,144.36787923669385,Victoria,"Private - For Staff, Visitors or Customers",free
Mona Vale [JOLT],-33.67606087720165,151.30325795651265,New South Wales,Public - Membership Required,$0.00/kWh up to 7 kWh then $0.46/kWh
Dan Murphy's,-35.709931,150.17774,New South Wales,Public - Membership Required,50c per kWh energy consumed.
Walgett [NRMA],-30.02045011043731,148.11600190575848,New South Wales,Public - Membership Required,FREE
Brewarrina [NRMA],-29.960445999997674,146.85742999998627,New South Wales,Public,Currently free but will be fee at some point.
Bourke [NRMA],-30.088249,145.93511,New South Wales,Public,"Free currently, join NRMA as a thank you."
Nyngan [NRMA],-31.564631000004198,147.1969360000096,New South Wales,Public,Currently free but will be fee at some point for non NRMA Members
Cobar [NRMA],-31.49883300000129,145.83757000000242,New South Wales,Public - Membership Required,FREE
Wilcannia [NRMA],-31.55748024734784,143.38590809166777,New South Wales,Public,Cost information not available
Broken Hill [NRMA],-31.959754641960238,141.45961530379066,New South Wales,Public,Cost information not available
Mildura [NRMA],-34.188998,142.162212,Victoria,Public,Cost information not available
Berri [NRMA],-34.285689864254955,140.60355285882747,South Australia,Public,FREE
Tanunda [NRMA],-34.5246854548199,138.95804140891113,South Australia,Public - Membership Required,FREE
Balranald [NRMA],-34.639493379894546,143.56448828860727,New South Wales,Public - Membership Required,FREE
Hay [NRMA],-34.50867857950999,144.84290661775623,New South Wales,Public,Currently free but will be fee at some point.
West Wyalong [NRMA],-33.92362578966908,147.2036629768271, NSW,Public,"Free currently, join NRMA as a thank you."
Temora Council Chamber,-34.44602848720433,147.534391219815,New South Wales,Public,Currently free but will be fee at some point for non NRMA Members
RAC Esperance Holiday Park,-33.846123629542156,121.901810358881,Western Australia,Public - Membership Required,$0.45
Silos estate,-34.80770297678462,150.63696170662024,New South Wales,Public,Cost information not available
Cross Street Carpark [NRMA],-35.108407383247055,147.37397056866416,,Public,FREE
Bailey's Garage,-34.78231983827835,149.26678626597408,New South Wales,Public,Free
Macroom E-Centre,51.9062185991051,-8.948307057343413,Cork,Public - Membership Required,Cost information not available
The lodge at Little Rock,-31.48695074092305,118.25987173215276,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
BP Truckstop Merredin,-31.482755542949874,118.26874281054063,Western Australia,Public - Membership Required,0.44
Millbrook Winery,-32.349268426066345,116.04988295662383,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Narrogin Hotel,-32.93603653516006,117.16741450537256,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Wagin Motel,-33.30772086650226,117.34616189953726,Western Australia,"Private - For Staff, Visitors or Customers",Free
The Lily Dutch Windmill - Stirling Range,-34.223273068915724,118.21594999488394,Western Australia,"Private - For Staff, Visitors or Customers",Hourly rate
Treetop Walk Motel,-34.9755934090466,116.73493267275126,Western Australia,Public - Pay At Location,$20
Northcliffe Hotel Motel,-34.63065447771885,116.12378507568116,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Best Western Pemberton,-34.44411440805307,116.03653827573595,Western Australia,Public - Pay At Location,$20
Stay Margaret River,-33.953751896279094,115.06007358112566,Western Australia,Public - Pay At Location,$25 flat rate
Myalup Beach Caravan Park,-33.10288926692897,115.68908721055715,Western Australia,Public - Pay At Location,$2 per hour
State Library of Western Australia,-31.949165795484845,115.86050694534993,Western Australia,Public - Pay At Location,http://www.cityofperthparking.com.au/state-library
Perth Cultural Centre,-31.95054936969006,115.8601032721649,Western Australia,Public - Pay At Location,http://www.cityofperthparking.com.au/cultural-centre
Perth Convention and Exhibition Centre,-31.95535657614961,115.8529214449357,Western Australia,Public,http://www.cityofperthparking.com.au/convention-centre
City of Perth Council-House,-31.956912110143783,115.86065464317664,Western Australia,Public,http://cityofperthparking.com.au/council-house
Mossman Gorge Centre,-16.47409220742763,145.34900965034046,QueensLand,Public - Membership Required,Cost information not available
Port Douglas QESH,-16.5267622520372,145.46290164900427,QueensLand,Public - Membership Required,$0.30
Cairns QESH,-16.920519243236583,145.77903299687227,QueensLand,Public - Membership Required,$0.30
Innisfail QESH,-17.523530736436754,146.02679729814793,QueensLand,Public - Membership Required,$0.30
Tully QESH,-17.9348995446898,145.92405904782356,QueensLand,Public - Membership Required,$0.30
Cardwell QESH,-18.262614406268767,146.02462137635962,QueensLand,Public - Membership Required,$0.30 per kWh 
PUMA /Evie,-19.319350027741095,146.8284609718744,QueensLand,Public - Membership Required,Cost information not available
Townsville QESH,-19.323358513085054,146.7583755416913,QueensLand,Public - Membership Required,$0.30 per kWh 
Ayr QESH,-19.573864927671323,147.40556577868756,QueensLand,Public - Membership Required,$0.30
Bowen QESH,-20.016753107666602,148.24891308162455,QueensLand,Public - Membership Required,$0.30
Proserpine QESH,-20.402473679690317,148.58154883254292,QueensLand,Public - Membership Required,$0.30
Mackay QESH,-21.139355499964623,149.18503710905475,QueensLand,Public - Membership Required,$0.30
Carmila QESH,-21.908502802871126,149.41051205419296,QueensLand,Public - Membership Required,$0.30 per kWh 
Marlborough QESH,-22.82792884592763,149.9324998642801,QueensLand,Public - Membership Required,$0.30 per kWh
Project Ave Parking,-26.4086797421553,153.0461333645826,QueensLand,Public - Membership Required,Cost information not available
Ikea North Lakes,-27.242998014121355,153.01465696410696,QueensLand,Public - Membership Required,$0.30/kWh
Richmond Tavistock No. 3 [Jolt],-33.86602668667314,151.06443969723887,New South Wales,Public,"Free up to 7kWh, charges thereafter"
Yass Soldiers Club,-34.84180413059654,148.9128633229027,New South Wales,"Private - For Staff, Visitors or Customers",FREE
Bathurst Rail Museum,-33.425767907528055,149.58141991356138,New South Wales,Public,Cost information not available
Hydro Majestic Hotel,-33.67697329948779,150.281626751796,NSW ,Public,Cost information not available
Scenic World Carpark,-33.728024559118296,150.300728600681,New South Wales,Public,Cost information not available
Supercheap auto,-33.76965243504467,150.67186991611658,NSW‎ ,Public - Membership Required,Cost information not available
Rockhampton QESH,-23.382146860599264,150.51355170231477,QueensLand,Public - Membership Required,$0.30
Gin Gin QESH,-24.989529996084883,151.95310955075183,QueensLand,Public - Membership Required,$0.39 per kWh
Gunalda QESH,-25.994198141547088,152.56269417739531,QueensLand,Public - Membership Required,$0.30 per kWh
Gympie [QESH],-26.18854334315202,152.66574226908438,QueensLand,Public - Membership Required,$0.30/kWh
Brisbane Airport,-27.415112352398268,153.07724242473,QueensLand,Public - Membership Required,"$0.40 per kWh Full (RFID, QR, Plug&Charge, app)"
Bilinga QESH (Coolangatte Airport),-28.16382522506754,153.514927307191,QueensLand,Public - Membership Required,$0.30 per kWh
Coolangatta Surf Club,-28.166937408855013,153.53634874918976,QueensLand,Public - Membership Required,$0.30 per kWh
The Farm Byron Bay [NRMA],-28.63571944020704,153.55330117184485,New South Wales,Public,Cost information not available
Grafton Public Library,-29.688073199234324,152.93353803987213,New South Wales,Public,Cost information not available
Evie Macksville,-30.709970892832544,152.91982301754945,New South Wales,Public - Membership Required,$0.60 per kWh
Anniversary Park,-32.292626788449596,115.74664476860039,Western Australia,Public,Cost information not available
Rockingham Volkswagen ,-32.27045412024325,115.75561955622425,Western Australia ,Private - Restricted Access,Cost information not available
Mundaring Weir Hotel,-31.952209900740648,116.16705526729766,Western Australia,Public,Cost information not available
ChargeFox Cooma,-36.21868817620539,149.13363161099028,New South Wales,Public - Membership Required,AUD 0.65 per kWh
Gippsland Solar,-37.83372548471041,147.60661599037178,Victoria,Public - Membership Required,$0.25 per kWh
Port of Sale,-38.112024318575045,147.06310643876884,Victoria,Public - Membership Required,$0.40
Holbrook [NRMA],-35.71746030083052,147.31775237395414,New South Wales,Public,Cost information not available
Jugiong [NRMA],-34.82341194348058,148.32537254091335,New South Wales,Public,FREE
"Department of Biodiversity, Conservation and Attractions",-31.995655950694704,115.88329363905393,Western Australia,Private - Restricted Access,
Silk Thai Restaurant,-32.53111567064465,115.72030282929558,Western Australia,Public,"Free for diners, 30c/kWh for public"
"Department of Biodiversity, Conservation and Attractions FWF",-31.995737047605445,115.88564872339822,Western Australia,Private - Restricted Access,Cost information not available
Tarcutta Roadhouse [Evie],-35.27711511746652,147.73611268003378,New South Wales,Public - Membership Required,65c per kwH energy consumed.
Coles Express Coomera,-27.855202514974366,153.31010291274197,,Public - Membership Required,$0.60 per kWh
Mercedes Perth,-31.999110470936742,115.9157275187037,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Dowerin Field Days Oval,-31.19020425492358,117.03612798040007,Western Australia,Privately Owned - Notice Required,
Rockingham Nissan,-32.27602954766279,115.76426627808104,Western Australia,Private - Restricted Access,Cost information not available
The Old Convent,-30.28724891743107,116.66646540542087,Western Australia,Public,Cost information not available
Wongan Hills Caravan Park,-30.88814280903685,116.71504793666344,Western Australia,Public,Cost information not available
Puma New Norcia Roadhouse,-30.973749857257722,116.21249128930401,Western Australia,Public,Cost information not available
Gingin Hotel,-31.350965381790523,115.90418179823558,Western Australia,Public,
Granville Civic Centre,-31.34975443971156,115.90479361984762,Western Australia,Public,
Gravity Discovery Centre,-31.356129821303917,115.71263310610527,Western Australia,Public,
Alan and Eve's Eden,-31.53857963900527,116.07373436553274,Western Australia,"Private - For Staff, Visitors or Customers",Please ring 24 hours in advance
Enderslie B&B,-31.581419541887506,115.98343798965402,Western Australia,"Private - For Staff, Visitors or Customers",
Woolworths Northam,-31.653838360245935,116.67275712306093,Western Australia,Public,Cost information not available
Muresk Institute,-31.74992627976492,116.68294107958945,Western Australia,Public,Cost information not available
Laurelville Manor,-31.890257051674716,116.7767352171943,Western Australia,"Private - For Staff, Visitors or Customers",
Beverley Agricultural Showground,-32.105142349587666,116.92652187873722,Western Australia,Public,Speak to the shire
Quairading Community Resource Centre,-32.011587852764045,117.40044403326306,Western Australia,Public,See Exploren app.
Corrigin Hotel,-32.33053209732362,117.87400878811326,Western Australia,Public,Please introduce yourself to the proprietor and pay for your power
Freebairn Recreation Centre,-32.66897565706384,118.16121384503646,Western Australia,Public,
Hannan Street Parking,-30.748154235887043,121.47147200622675,Western Australia,Public,Cost information not available
The View On Hannans,-30.75181001068328,121.4673604447338,Western Australia,Public,
Goldfields Rewinds,-30.774794590528153,121.4411344975328,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Koora Retreat,-31.26144170839072,120.0211535311152,Western Australia,Public - Pay At Location,Donation per kwh for charging
Leinster Oval,-27.914210013189305,120.69785944182411,Western Australia,Public,Cost information not available
Eighty Mile Beach Caravan Park,-19.756167699546978,120.6712445688542,Western Australia,Public,Discuss with management
Tom Price Oval,-22.6944253139324,117.7976779545387,Western Australia,Public,Cost information not available
Kiwirrkurra Community,-22.818475587637863,127.76375975279711,Western Australia,Public - Pay At Location,Contact CSM on 08 8956 4975 in business hours to discuss access
Mundrabilla Roadhouse,-31.81757472492606,128.22465075582477,Western Australia,Public - Pay At Location,$40 flat fee for casual day use. Free if staying in the Motel.
Lancelin Supercharger,-31.020579082688826,115.33236022088863,Western Australia,Public - Membership Required,$0.59 per kWh
Madura Pass Oasis Motel,-31.899686609043975,127.02050258563054,Western Australia,Public,Payment Required 3 phase $10/hour donation to the RFDS. $30 for overnight 15A camping
Wedgetail Inn Hotel,-32.03779869966926,126.097536069625,Western Australia,Public,Cost information not available
Badgingarra Oval (Shire of Dandaragan),-30.38955480041914,115.50103045411913,Western Australia,Public,Drivers are urged to donate to the tin at mini golf.
Railway Pavilion,-28.346488542672155,116.68292951911161,Western Australia,Public,Cost information not available
Mingenew Sports Oval,-29.19978237316348,115.44807728352731,Western Australia,Public - Pay At Location,Cost information not available
Denham Foreshore,-25.927353943905715,113.5320663505035,Western Australia,Public,Contact Shark Bay council
Carnarvon Oval,-24.883633681713803,113.65833207100462,Western Australia,Public - Notice Required,Contact Shire
Carnarvon Motel,-24.88005803783514,113.65299955178068,Western Australia,Public,Cost information not available
RAC Ningaloo Resort Coral Bay,-23.144227510437986,113.76901776432487,Western Australia,Public,Cost information not available
Beadon Creek boat ramp,-21.6496497447405,115.13157408980976,Western Australia,Public,Cost information not available
Art Centre Karratha Car Park,-20.737344733908344,116.84538655743881,Western Australia,Private - Restricted Access,Cost information not available
Whim Creek Hotel,-20.840156886165104,117.83576497936053,Western Australia,Public - Pay At Location,Discuss with hotel
The Walkabout,-20.376883684124465,118.63530730006084,Western Australia,Public - Pay At Location,Discuss with Management
Sandfire Roadhouse,-19.76932842302034,121.09184862660732,Western Australia,Public - Pay At Location,Discuss with management
Port Smith Caravan Park,-18.51736385718948,121.81578579903896,Western Australia,Public - Pay At Location,Cost information not available
Eco Beach Resort,-18.330537139663903,122.08216969258012,Western Australia,Public - Notice Required,Cost information not available
Jetty Road Derby,-17.29234904924742,123.611030661104,Western Australia,Public - Notice Required,Cost information not available
277 Great Northern Highway,-18.21063715086703,125.58171764898941,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Larrawa Nature Stay,-18.79951570622832,126.53772646651475,Western Australia,Public,Cost information not available
Halls Creek Toyota,-18.22464744998622,127.67171880504202,Western Australia,Public - Pay At Location,$0.385 per kWhr
Halls Creek Motel,-18.2231223237778,127.6706506236855,Western Australia,Public,Cost information not available
Parry Creek Farm Tourist Resort,-15.597331659529445,128.27863456119962,Western Australia,Public,Cost information not available
NRMA Ballina,-28.857574508961363,153.56173216616514,New South Wales,Public - Membership Required,"Ultra-Rapid: $0.60/kWh, Rapid: $0.40/kWh"
Tyndale Shell Roadhouse,-29.56068494254326,153.14908373979097,New South Wales,Public - Membership Required,$0.60
Empower Solar,-32.06248946683628,115.91689053182301,Western Australia,Public,Free
Paraburdoo DC Charger,-23.19899524196431,117.67077778123866,Western Australia,Public,Free
Malvern Springs McDonalds,-31.765279789604662,115.98624964029767,Western Australia,Public - Membership Required,Free
Eden Gardens,-33.78064947709375,151.13421887082995,New South Wales,Public,Free
Hillcrest Road,-33.73724500047699,151.07106994908884,New South Wales,Public - Membership Required,Free
Giffnock Avenue,-33.78254134090367,151.1230831406915,New South Wales,Public - Membership Required,Free
Greenvale Woolworths,-37.616202335824184,144.91476338954578,Victoria,Public,Cost information not available
Oak Park Sports & Aquatic Centre,-37.7234502505038,144.92111987538624,Victoria,Public - Membership Required, Free to use for 3 hour sessions
Macquarie University X6A Banksia Cottage,-33.77520838069468,151.1095032126692,New South Wales,Public,Free
Stripey Sundae,-35.19209630184098,149.08502581992445,ACT ,Public,Cost information not available
Banjo Paterson Park [NRMA],-34.84109672768463,148.9124467852405,New South Wales,Public - Membership Required,FREE
Goulburn Gateway Service Station,-34.74788823042669,149.7496208332201,New South Wales,Public - Membership Required,"$0.60 / kWh for 350kW, $0.45 per kWh for 50kW"
Brimbank Shopping Centre,-37.751176222078364,144.77432972140224,Victoria,Public,Free
McDonald’s Melton South,-37.7224393461178,144.57233401223442,Victoria,Public - Membership Required,$AU 0.40/kWh
Shell Coles Express Taylors Lakes,-37.69674197545634,144.78205236033568,Victoria,Public - Membership Required,$AU 0.60/kWh
Goulburn Visitor Information Centre,-34.75614119383021,149.72056166468496,New South Wales,Public,Cost information not available
Best Western Plus Goulburn,-34.74763966952328,149.72931043349024,New South Wales,Public - Pay At Location,Cost information not available
The Sandalwood Cafe,-34.92404614123427,117.7908841103324,Western Australia,Public,Cost information not available
Pilmuir (self catering),57.26298370746983,-3.7398900681177736,,Privately Owned - Notice Required,Cost information not available
RACV Ballarat,-37.5612351886418,143.86250844804772,Victoria,Public - Membership Required,$0.40 /kWh
Uni Hill Town Centre,-37.682971406829196,145.07101659256762,Victoria,Public - Membership Required,$0.40 / Kwh
Brunswick EV Hub,-37.77388003814904,144.961800631472,Victoria,Public,Free
Coburg Civic Centre / Moreland City,-37.74104152020631,144.9701497464091,Victoria,Public,Free
Coburg North EV Fast Charge,-37.71893760420672,144.9615007076203,Victoria,Public - Membership Required,Free to use for a 1 hour session.
CB Smith Reserve,-37.70252995850394,144.9695198384195,Victoria,Public - Membership Required,Free
Heatherton Road,-37.97128123711468,145.2236965774951,Victoria,Public - Membership Required,$0.60 / kWh
Research Way - N1 Carpark,-37.90730011409977,145.13207788768955,Victoria,Public - Membership Required,Free
EastLand Shopping Centre,-37.81312694411209,145.22883198929685,Victoria,Public - Membership Required,Cost information not available
RACV - Horsham,-36.711118864173116,142.20194581205692,Victoria,Public - Membership Required,Cost information not available
Lochiel Street,-36.45471075819277,142.02591791324858,Victoria,Public - Membership Required,Cost information not available
Elizabeth Park,-37.28172500035981,142.93062886065638,Victoria,Public - Membership Required,0
Public Area Kulin,-32.67002628100579,118.15563161863884,Western Australia,Public,Cost information not available
Watergardens Shopping Centre,-37.69870942833684,144.77527685160192,Victoria,Public - Membership Required,Cost information not available
Hungry Jacks,-37.58083462151804,144.72450043278604,Victoria,Public - Membership Required,$0.25/kWh
Broome Visitor Center,-17.95354350836439,122.24114298192785,Western Australia,Public - Membership Required,Free
Karrinyup Centre,-31.877110016292697,115.7766884375718,Western Australia,Public - Membership Required,0.51c / kWhr plus $1/min idle fee
Stockland Harrisdale,-32.1275513,115.9276093,Western Australia,Public - Membership Required,Free
Ocean West Holiday Units ,-28.791720261746377,114.60989406856584,Western Australia,Public,Free
Pemberton Fast Charger ,-34.443958291194164,116.03592151577095,Western Australia,Public - Membership Required,$0.45 per kWh 
Karri Valley RAC Resort ,-34.42027613180135,115.85053322429985,Western Australia,Public - Membership Required,$0.45 per kWh 
Nowendoc General Store,-31.51342872168202,151.71798157900275,New South Wales,Privately Owned - Notice Required,Cost information not available
"Pacific Fuels, Drayton",-27.591010565674807,151.9153942255773,QueensLand,Public - Membership Required,$0.30/kWh
Curtin University Future Battery Industries,-32.01014423473439,115.89408682148053,Western Australia,Public,"Parking cost $2.55 per hour during office hours, $1.00 per hour otherwise. "
Byford McDonalds ,-32.20781033484258,115.9786323921769,Western Australia,Public - Membership Required,$0.22 per kWh
Byford Hungry Jacks,-32.222227005760224,116.009671395635,Western Australia,Public,Free
Williams Supercharger,-33.0246396689368,116.87898753225318,Western Australia,Public - Membership Required,Tesla Supercharger Cost
Orana McDonalds,-34.992431565802164,117.85606118764076,Western Australia,Public - Membership Required,$0.25 per kWh
Armstrong Creek Shopping Centre,-38.22890721146294,144.3389741604601,Victoria,Public,Free
Jerramungup Caravan Park ,-33.94303012312629,118.92107406503692,Western Australia,"Private - For Staff, Visitors or Customers",$0.50 per kWh
Auski Tourist Village,-22.376952822011987,118.69077381915235,Western Australia,"Private - For Staff, Visitors or Customers",Free
Evie Networks - Brighton,-42.700694,147.250937,Tasmania,Public - Membership Required,60c/kWh
Port Macquarie Service Centre [Chargefox],-31.463751231214047,152.82172752510883,New South Wales,Public,"$0.60/kWh, 20% discount for NRMA members"
Sovereign Place [NRMA],-31.458281139153392,152.8274557327511,New South Wales,Public,Free
Karuah [Chargefox],-32.654035826022145,151.96245572258226,New South Wales,Public - Membership Required,$0.45 - $0.60/kWh
Cradle Mountain Visitor Centre,-41.580407,145.938367,Tasmania,Public,Free
Bischoff Hotel,-41.442649,145.526853,Tasmania,"Private - For Staff, Visitors or Customers",Free
Coffs Harbour [Chargefox],-30.31779254465217,153.08970357206374,New South Wales,Public,$0.60/kWh
Paradise Country Farmstay,-27.9130134499947,153.30421447000026,QueensLand,"Private - For Staff, Visitors or Customers",
QESH Slacks Creek (IKEA Logan),-27.637474767788774,153.13549712588133,QueensLand,Public,$0.30 per kWh
Taree South Service Centre [Evie],-31.94324179696902,152.4706408423865,New South Wales,Public - Membership Required,$0.60/kWh
Electric Highway Tasmania - Swansea,-42.123706,148.075201,Tasmania,Public,25c/kWh + 25c/min
Kawana Shopping World,-26.704325392220312,153.13172509725268,QueensLand,Public,Free
Helensvale QESH,-27.923656750179823,153.33893758482532,QueensLand,Public,$0.30 per kWh
BWS Forest Glen,-26.6871348,153.0042754,QueensLand,Public,20c/kWh
Coles North Buderim,-26.6628832,153.0503206,QueensLand,Public - Pay At Location,0.40 per kWh
Busselton Central ,-33.650757506043476,115.34189703524089,Western Australia,Public,Cost information not available
TasPorts - Fishermans Market,-42.881781,147.333368,Tasmania,Public,Free
TasPorts - Hunter Street,-42.88166757453731,147.33553637293267,Tasmania,Public,Free
EHT - St Helens,-41.322949,148.248273,Tasmania,Public,25c/kWh + 25c/min
Kulin Caravan Park ,-32.667453883476426,118.15772042453,Western Australia,Public,Cost information not available
Monkey Mia Resort ,-25.795073267849816,113.71896975818015,Western Australia,Private - Restricted Access,Ask at site 
Oceans Restaurant,-25.980244900682365,113.55941698472748,Western Australia,Public,As at site
Byron Shire Carpark,-28.55487684402341,153.502193985046,New South Wales,Public - Membership Required,free
Woolworths Shell Cove,-34.588308117930936,150.86592718102042,New South Wales,Public,$0.40/kWh ($0.32/kWh for NRMA)
Wollongong Supercharger,-34.43797320339262,150.8633622012107,New South Wales,Public - Membership Required,$0.69/kWh
Broome Horizon Power,-17.982599265398918,122.2046047380004,Western Australia,Public,Cost information not available
Cable Beach Club,-17.928467796464545,122.21282563816374,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Wooramel Roadhouse,-25.77005241895108,114.29396280909054,Western Australia,Public - Pay At Location,$10 / hour
