"model_release_year","make","model_release_version","model","variant","engine_displacement","engine_configuration","engine_induction","fwd_gears_no","transmission_type_description","side_door_no","seating_capacity","body_style","driving_wheels_no","fuel_type","co2_emissions_combined","co2_emissions_urban","co2_emissions_extra_urban","fuel_consumption_combined","fuel_consumption_urban","fuel_consumption_extra_urban","energy_consumption_whkm","electric_range_km","air_pollution_standard","stationary_noise_data","test_speed","is_current_model","model_end_year","fuel_life_cycle_co2","annual_tailpipe_co2","annual_fuel_cost"
"2013","Ford","WZ","Fiesta","Ambiente","1.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","137","181","111","5.8","7.7","4.7","","","Euro 5","73.00","3750","Yes","0","142","1.92","1332"
"2013","Ford","WZ","Fiesta","Trend","1.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","137","181","111","5.8","7.7","4.7","","","Euro 5","73.00","3750","Yes","0","142","1.92","1332"
"2025","Nissan","J12","Qashqai","ST, ST-L - ICE","1.3","4cyl","Turbo","1","CVT","4","5","Wagon","2","Petrol 91RON","138","169","119","6.1","7.5","5.3","","","Euro 6","74","3750","Yes","0","149","1.93","1401"
"2022","Nissan","J12","Qashqai","ICE","1.3","4cyl","Turbo","1","CVT","4","5","Wagon","2","Petrol 91RON","138","169","119","6.1","7.5","5.3","","","Euro 5","75","3750","Yes","0","149","1.93","1401"
"2020","Kia","2021","Stonic","S","1.4","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","139","171","120","6","7.4","5.2","","","Euro 5","79","4500","Yes","0","147","1.95","1378"
"2020","Kia","2021","Stonic","Sport","1.4","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","139","171","120","6","7.4","5.2","","","Euro 5","79","4500","Yes","0","147","1.95","1378"
"2024","MG","","MG3","1.5L CVT FWD Petrol","1.5","4cyl","Normal","8","CVT","4","5","Hatch","2","Petrol 91RON","139","183","114","6","7.8","4.9","","","Euro 5","68","2500","Yes","0","147","1.95","1378"
"2013","Ford","WZ","Fiesta","Trend","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","139","192","108","5.8","8.1","4.5","","","Euro 5","73.00","3750","Yes","0","142","1.95","1332"
"2013","Ford","WZ","Fiesta","Ambiente","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","139","192","108","5.8","8.1","4.5","","","Euro 5","73.00","3750","Yes","0","142","1.95","1332"
"2023","Hyundai","2024","i30","2.0 MPI","2","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","139","194","107","6.1","8.5","4.7","","","Euro 5","83","3750","Yes","0","149","1.95","1401"
"2023","Kia","","Picanto","Sport AT","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","140","179","118","6","7.7","5.1","","","Euro 5","74","3750","Yes","0","147","1.96","1378"
"2023","Kia","","Picanto","GT-Line AT","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","140","179","118","6","7.7","5.1","","","Euro 5","74","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","VTi-L","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","RS","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","VTi-LX","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2024","Honda","","HR-V","Vi X (Petrol)","1.5","4cyl","Normal","1","CVT","4","4","SUV","2","Petrol 91RON","142","175","123","6.2","7.7","5.4","","","Euro 5","75","3750","Yes","0","151","1.99","1424"
"2024","Honda","","HR-V","Vi X ","1.5","4cyl","Normal","1","CVT","4","4","Wagon","2","Petrol 91RON","142","175","123","6.2","7.7","5.4","","","Euro 5","75","3750","Yes","0","151","1.99","1424"
"2019","Suzuki","","Vitara","","1.6","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","142","182","119","6.2","7.9","5.2","","","Euro 5","77","3750","Yes","0","151","1.99","1424"
"2020","Kia","2021","Rio","S","1.4","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","143","185","120","6","7.8","4.9","","","Euro 5","81","4500","Yes","0","147","2","1378"
"2020","Kia","2021","Rio","Sport","1.4","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","143","185","120","6","7.8","4.9","","","Euro 5","81","4500","Yes","0","147","2","1378"
"2019","Mazda","","3","Sedan","2","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","144","180","123","6.1","7.6","5.2","","","Euro 5","79","3750","Yes","0","149","2.02","1401"
"2014","Honda","","Jazz","VTi","1.5","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","144","181","123","6.2","7.8","5.3","","","Euro 5","74.00","3750","Yes","0","151","2.02","1424"
"2019","Mazda","","3","Sedan","2.5","4cyl","Normal","6","Manual","4","5","Sedan","2","Petrol 91RON","144","189","117","6.2","8.2","5","","","Euro 5","81","3750","Yes","0","151","2.02","1424"
"2015","Ford","WZ","Fiesta","ST","1.6","4cyl","Turbo","6","Manual","2","5","Sedan","2","Petrol 91RON","145","193","117","6.2","8.3","5","","","Euro 5","84.00","3750","Yes","0","151","2.03","1424"
"2015","Mazda","","CX-3","","2.0","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","146","181","126","6.1","7.6","5.2","","","Euro 5","81.00","3750","Yes","0","149","2.04","1401"
"2019","Mazda","","3","Hatch","2","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","146","182","125","6.2","7.8","5.3","","","Euro 5","81","3750","Yes","0","151","2.04","1424"
"2016","Ford","ZG","Escape","Ambiente, Trend, Titanium","1.5","4cyl","Turbo","6","Manual","4","5","SUV","2","Petrol 91RON","146","182","125","6.3","7.9","5.4","","","Euro 5","72","3750","Yes","0","154","2.04","1446"
"2019","Mazda","","3","Hatch","2.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","146","192","119","6.3","8.3","5.1","","","Euro 5","82","3750","Yes","0","154","2.04","1446"
"2015","Ford","LZ","Focus","Trend","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2015","Ford","LZ","Focus","Sport","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2015","Ford","LZ","Focus","Trend","1.5","4cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2017","Ford","BL","Ecosport","Ambiente","1.5","3cyl","Normal","5","Manual","4","5","SUV","2","Petrol 91RON","147","194","119","6.4","8.5","5.2","","","Euro 5","77","3750","Yes","0","156","2.06","1469"
"2025","Renault","2025","Duster","","1.3","4cyl","Turbo","7","Auto","4","5","SUV","2","Petrol 91RON","147","198","118","6.5","8.8","5.2","","","Euro 5","72","3563","Yes","0","159","2.06","1492"
"2021","Honda","","Civic","1.5L ","1.5","4cyl","Turbo","1","CVT","4","5","Hatch","2","Petrol 91RON","148","185","126","6.3","8","5.4","","","Euro 5","71","3750","Yes","0","154","2.07","1446"
"2016","Honda","","Civic","VTi","1.8","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","148","202","117","6.4","8.7","5","","","Euro 5","75","3750","Yes","0","156","2.07","1469"
"2016","Honda","","Civic","VTi-S","1.8","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","148","202","117","6.4","8.7","5","","","Euro 5","75","3750","Yes","0","156","2.07","1469"
"2019","Mazda","","3","Sedan","2","4cyl","Normal","6","Manual","4","5","Sedan","2","Petrol 91RON","149","190","125","6.3","8.1","5.3","","","Euro 5","79","3750","Yes","0","154","2.09","1446"
"2023","Hyundai","","Kona","2.0 MPI (18inch)","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","149","193","149","6.6","8.6","5.5","","","Euro 5","77","3750","Yes","0","161","2.09","1515"
"2020","Honda","","Accord","VTi-LX Petrol","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","149","196","121","6.5","8.6","5.3","","","Euro 5","71","3750","Yes","0","159","2.09","1492"
"2021","Mazda","","MX-30","M-Hybrid","2","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","150","178","134","6.4","7.6","5.7","","","Euro 5","75","3750","Yes","0","156","2.1","1469"
"2015","Ford","LZ","Focus","Titanium","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","150","208","116","6.4","8.9","4.9","","","Euro 5","77","3750","Yes","0","156","2.1","1469"
"2015","Ford","LZ","Focus","Titanium","1.5","4cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","150","208","116","6.4","8.9","4.9","","","Euro 5","77.00","3750","Yes","0","156","2.1","1469"
"2024","Hyundai","2025","Tucson","1.6 T-GDI","1.6","4cyl","Turbo","7","Auto","4","5","SUV","2","Petrol 91RON","151","182","134","6.7","8","5.9","","","Euro 5","77","3750","Yes","0","164","2.11","1538"
"2015","Mazda","","CX-3","","2.0","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","151","190","128","6.3","7.9","5.4","","","Euro 5","81.00","3750","Yes","0","154","2.11","1446"
"2019","Mazda","","3","Hatch","2","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","151","193","127","6.4","8.2","5.4","","","Euro 5","81","3750","Yes","0","156","2.11","1469"
"2020","Mazda","","CX-30","FWD","2","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","152","188","131","6.5","8","5.6","","","Euro 5","77","3750","Yes","0","159","2.13","1492"
"2016","Subaru","","Impreza","i","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2019","Mazda","","3","Sedan","2.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","152","198","125","6.5","8.5","5.3","","","Euro 5","81","3750","Yes","0","159","2.13","1492"
"2020","Mazda","","CX-30","AWD","2","4cyl","Normal","6","Auto","4","5","SUV","4","Petrol 91RON","153","188","133","6.6","8.1","5.7","","","Euro 5","76","3750","Yes","0","161","2.14","1515"
"2017","Ford","BL","Ecosport","Trend, Titanium","1","3cyl","Turbo","6","Auto","4","5","SUV","2","Petrol 91RON","153","201","129","6.7","8.7","5.6","","","Euro 5","74","3750","Yes","0","164","2.14","1538"
"2020","Mazda","","CX-30","FWD","2.5","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","154","197","129","6.6","8.5","5.5","","","Euro 5","78","3750","Yes","0","161","2.16","1515"
"2023","Hyundai","","Kona","2.0 MPI (19inch)","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","154","199","129","6.6","8.6","5.5","","","Euro 5","77","3750","Yes","0","161","2.16","1515"
"2013","Ford","BK","Ecosport","Trend","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2013","Ford","BK","Ecosport","Ambiente","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2013","Ford","BK","Ecosport","Titanium","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2019","Mazda","","3","Hatch","2.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","154","201","127","6.6","8.6","5.4","","","Euro 5","82","3750","Yes","0","161","2.16","1515"
"2013","Ford","BK","Ecosport","Ambiente","1.5","4cyl","Normal","5","Manual","4","5","Wagon","2","Petrol 91RON","154","205","124","6.5","8.6","5.2","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2019","Toyota","","RAV4","GX","2","4cyl","Normal","6","Manual","4","5","SUV","2","Petrol 91RON","155","196","131","6.8","8.6","5.7","","","Euro 5","74","3750","Yes","0","166","2.17","1561"
"2015","Honda","","HR-V","VTi","1.8","4cyl","Normal","1","CVT","4","5","Wagon","2","Petrol 91RON","155","198","129","6.6","8.5","5.6","","","Euro 5","75.00","3750","Yes","0","161","2.17","1515"
"2020","Kia","2021","Stonic","S","1.4","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","155","199","130","6.7","8.6","5.6","","","Euro 5","81","4500","Yes","0","164","2.17","1538"
"2020","Kia","2021","Stonic","Sport","1.4","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","155","199","130","6.7","8.6","5.6","","","Euro 5","81","4500","Yes","0","164","2.17","1538"
"2023","Hyundai","2024","i30","1.6 T-GDI (Goodyear 18inch)","1.6","4cyl","Turbo","7","Auto","4","5","Sedan","2","Petrol 91RON","155","200","128","6.6","8.6","5.5","","","Euro 5","86","3750","Yes","0","161","2.17","1515"
"2023","MG","","MG5","1.5 CVT","1.5","4cyl","N/A","1","CVT","4","5","Sedan","2","Petrol 91RON","155","208","124","6.6","8.9","5.3","","","Euro 5","74","3750","Yes","0","161","2.17","1515"
"2017","MG","","ZS","1.0T 6AT FWD","1","3cyl","Turbo","6","Auto","4","5","SUV","2","Petrol 91RON","157","196","134","6.7","8.4","5.7","","","Euro 5","69","2850","Yes","0","164","2.2","1538"
"2024","MG","","ZS","1.5L CVT","1.5","4cyl","Normal","8","CVT","4","5","SUV","2","Petrol 91RON","157","199","134","6.7","8.5","5.7","","","Euro 5","64","3000","Yes","0","164","2.2","1538"
"2020","Mazda","","CX-30","AWD","2.5","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","157","200","133","6.8","8.7","5.7","","","Euro 5","77","3750","Yes","0","166","2.2","1561"
"2021","Hyundai","","i20N","1.6 T-GDI","1.6","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","157","202","131","6.9","8.9","5.7","","","Euro 5","104","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","GT-Line FWD","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","S","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","Sport","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","Sport","2","4cyl","Normal","1","CVT","4","4","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2020","Hyundai","2021","i30","1.6 T-GDI","1.6","4cyl","Turbo","7","Auto","4","5","Sedan","2","Petrol 91RON","157","207","129","6.8","8.9","5.5","","","Euro 5","86","3750","Yes","0","166","2.2","1561"
"2021","Kia","2022","Cerato Sedan","GT","1.6","4cyl","Turbo","6","Other","4","5","Sedan","2","Petrol 91RON","157","212","126","6.9","9.3","5.5","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2019","Suzuki","GJ","Jimny","GLX","1.5","4cyl","Normal","4","Auto","2","4","SUV","4","Petrol 91RON","158","185","143","6.9","8.2","6.1","","","Euro 5","78","3750","Yes","0","169","2.21","1584"
"2023","Honda","","Honda ZR-V","VTI X","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","158","202","133","7","8.9","5.8","","","Euro 5","70","3750","Yes","0","171","2.21","1607"
"2021","Kia","2022","Cerato Hatch","GT","1.6","4cyl","Turbo","6","Other","4","5","Hatch","2","Petrol 91RON","158","209","128","6.8","8.9","5.5","","","Euro 5","78","3750","Yes","0","166","2.21","1561"
"2019","Kia","2019","Cerato Hatch","GT","1.6","4cyl","Turbo","6","Other","4","5","Hatch","2","Petrol 91RON","158","209","128","6.8","8.9","5.5","","","Euro 5","78","3750","Yes","0","166","2.21","1561"
"2019","Kia","2019","Cerato Sedan","GT","1.6","4cyl","Turbo","6","Other","4","5","Sedan","2","Petrol 91RON","158","209","128","6.8","8.9","5.5","","","Euro 5","78","3750","Yes","0","166","2.21","1561"
"2014","Honda","","Civic","VTiS","1.8","4cyl","Normal","5","Auto","4","5","Sedan","2","Petrol 91RON","158","216","125","6.7","9.1","5.3","","","Euro 4","74.00","3750","Yes","0","164","2.21","1538"
"2012","Honda","","Civic","VTi","1.8","4cyl","Normal","5","Auto","4","5","Sedan","2","Petrol 91RON","158","216","125","6.7","9.1","5.3","","","Euro 4","74.00","3750","Yes","0","164","2.21","1538"
"2012","Honda","","Civic","VTiL","1.8","4cyl","Normal","5","Auto","4","5","Sedan","2","Petrol 91RON","158","216","125","6.7","9.1","5.3","","","Euro 4","74.00","3750","Yes","0","164","2.21","1538"
"2018","MG","","MG3","1.5 MT","1.5","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","158","219","124","6.7","9.3","5.3","","","Euro 5","76","3750","Yes","0","164","2.21","1538"
"2025","Kia","","K4","1.6T-GDI GT-line","1.6","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 91RON","158","220","122","6.7","9.3","5.1","","","Euro 5","91","3750","Yes","0","164","2.21","1538"
"2017","Subaru","","XV","2.0i","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","159","200","136","7","8.8","6","","","Euro 6","76","3750","No","2025","171","2.23","1607"
"2017","Subaru","","XV","2.0i-L","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","159","200","136","7","8.8","6","","","Euro 6","76","3750","No","2025","171","2.23","1607"
"2017","Subaru","","XV","2.0i Premium","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","159","200","136","7","8.8","6","","","Euro 6","76","3750","No","2025","171","2.23","1607"
"2017","Subaru","","XV","2.0i-S","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","159","200","136","7","8.8","6","","","Euro 6","76","3750","No","2025","171","2.23","1607"
"2021","Toyota","","RAV4","EDGE","2.5","4cyl","Normal","8","Auto","4","5","SUV","4","Petrol 91RON","159","201","134","7","8.9","5.9","","","Euro 5","77","3750","Yes","0","171","2.23","1607"
"2017","Ford","BL","Ecosport","Ambiente","1.5","3cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","159","212","128","6.9","9.2","5.6","","","Euro 5","78","3750","Yes","0","169","2.23","1584"
"2018","MG","","MG3","1.5 AT","1.5","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","159","218","126","6.7","9.2","5.3","","","Euro 5","76","3750","Yes","0","164","2.23","1538"
"2020","Hyundai","2021","i30","2.0 MPI","2","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","159","226","121","7","10","5.3","","","Euro 5","76","3750","Yes","0","171","2.23","1607"
"2015","Mazda","","CX-3","","2.0","4cyl","Normal","6","Auto","4","5","Wagon","4","Petrol 91RON","160","190","142","6.7","8","6","","","Euro 5","76.00","3750","Yes","0","164","2.24","1538"
"2020","Honda","","CR-V","VTi","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","160","201","137","7","8.8","6","","","Euro 5","72","3750","Yes","0","171","2.24","1607"
"2015","Honda","","HR-V","VTiS","1.8","4cyl","Normal","1","CVT","4","5","Wagon","2","Petrol 91RON","160","202","135","6.9","8.7","5.8","","","Euro 5","75.00","3750","Yes","0","169","2.24","1584"
"2015","Honda","","HR-V","VTiL","1.8","4cyl","Normal","1","CVT","4","5","Wagon","2","Petrol 91RON","160","202","135","6.9","8.7","5.8","","","Euro 5","75.00","3750","Yes","0","169","2.24","1584"
"2019","Hyundai","2020","Venue","1.6 MPI","1.6","4cyl","Normal","6","Manual","4","5","SUV","2","Petrol 91RON","160","208","132","7","9.2","5.8","","","Euro 5","76","3750","Yes","0","171","2.24","1607"
"2020","Hyundai","2021","i30","2.0 MPI","2","4cyl","Normal","6","Manual","4","5","Sedan","2","Petrol 91RON","160","213","129","7","9.4","5.7","","","Euro 5","77","3750","Yes","0","171","2.24","1607"
"2017","Mazda","","CX-5","","2","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","161","194","142","6.9","8.4","6.1","","","Euro 5","76","3750","Yes","0","169","2.25","1584"
"2017","Mazda","","CX-5","","2","4cyl","Normal","6","Manual","4","5","SUV","2","Petrol 91RON","161","199","139","6.9","8.6","6","","","Euro 5","76","3750","Yes","0","169","2.25","1584"
"2012","Honda","","Civic","VTi","1.8","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","161","212","132","6.8","8.9","5.6","","","Euro 4","77.00","3750","Yes","0","166","2.25","1561"
"2023","Honda","","CR-V","VTi X","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","162","212","133","7.1","9.3","5.8","","","Euro 5","71","3750","Yes","0","173","2.27","1630"
"2023","Honda","","CR-V","VTi L","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","162","212","133","7.1","9.3","5.8","","","Euro 5","71","3750","Yes","0","173","2.27","1630"
"2016","Subaru","","Impreza","i-S ES","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","163","205","139","7.2","9.1","6.1","","","Euro 6","78","3750","No","2025","176","2.28","1653"
"2016","Subaru","","Impreza","i-S ES","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","163","205","139","7.2","9.1","6.1","","","Euro 6","78","3750","No","2025","176","2.28","1653"
"2021","Kia","2022","Sportage","1.6 T-GDI","1.6","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 91RON","164","200","144","7.2","8.8","6.3","","","Euro 5","73","3750","No","2025","176","2.3","1653"
"2024","Hyundai","2025","Tucson","1.6 T-GDI","1.6","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 91RON","164","200","144","7.2","8.8","6.3","","","Euro 5","77","3750","Yes","0","176","2.3","1653"
"2025","Honda","","Honda ZR-V","VTI L","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","164","207","139","7.2","9.1","6.1","","","Euro 5","70","3750","Yes","0","176","2.3","1653"
"2025","Honda","","Honda ZR-V","VTI LX","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","164","207","139","7.2","9.1","6.1","","","Euro 5","70","3750","Yes","0","176","2.3","1653"
"2018","Mazda","","6","","2.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","164","209","138","7","8.9","5.9","","","Euro 5","80","3750","Yes","0","171","2.3","1607"
"2018","Mazda","","6","","2.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","164","209","138","7","8.9","5.9","","","Euro 5","80","3750","Yes","0","171","2.3","1607"
"2023","MG","","ZST","1.3T 6AT FWD","1.3","3cyl","Turbo","6","Auto","4","5","SUV","2","Petrol 91RON","164","220","132","7.1","9.5","5.7","","","Euro 5","73","2850","Yes","0","173","2.3","1630"
"2024","Mitsubishi","24MY","Eclipse Cross","ES","1.5","4cyl","Turbo","8","CVT","4","5","SUV","2","Petrol 91RON","165","208","140","7.3","9.2","6.2","","","Euro 6","79","3750","Yes","0","178","2.31","1676"
"2024","Mitsubishi","24MY","Eclipse Cross","LS","1.5","4cyl","Turbo","8","CVT","4","5","SUV","2","Petrol 91RON","165","208","140","7.3","9.2","6.2","","","Euro 6","79","3750","Yes","0","178","2.31","1676"
"2024","Mitsubishi","24MY","Eclipse Cross","Black Edition","1.5","4cyl","Turbo","8","CVT","4","5","SUV","2","Petrol 91RON","165","208","140","7.3","9.2","6.2","","","Euro 6","79","3750","Yes","0","178","2.31","1676"
"2024","Mitsubishi","24MY","Eclipse Cross","ASPIRE","1.5","4cyl","Turbo","8","CVT","4","5","SUV","2","Petrol 91RON","165","208","140","7.3","9.2","6.2","","","Euro 6","79","3750","Yes","0","178","2.31","1676"
"2024","Mitsubishi","24MY","Eclipse Cross","EXCEED","1.5","4cyl","Turbo","8","CVT","4","5","SUV","2","Petrol 91RON","165","208","140","7.3","9.2","6.2","","","Euro 6","79","3750","Yes","0","178","2.31","1676"
"2017","MG","","ZS","1.5 4AT FWD","1.5","4cyl","Normal","4","Auto","4","5","SUV","2","Petrol 91RON","165","211","138","7.1","9.1","5.9","","","Euro 5","77","3750","Yes","0","173","2.31","1630"
"2019","Hyundai","2020","Venue","1.6 MPI","1.6","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","165","217","136","7.2","9.5","5.9","","","Euro 5","76","3750","Yes","0","176","2.31","1653"
"2024","Chery","","Tiggo 4 Pro","1.5T 2WD","1.5","4cyl","Turbo","1","Auto","4","5","SUV","2","Petrol 91RON","166","202","145","7.3","8.9","6.4","","","Euro 6","76","3750","Yes","0","178","2.32","1676"
"2018","Subaru","","Outback","2.5i","2.5","4cyl","Normal","1","CVT","4","5","Wagon","4","Petrol 91RON","166","207","142","7.3","9.1","6.2","","","Euro 6","74","2700","No","2025","178","2.32","1676"
"2018","Subaru","","Outback","2.5i Premium","2.5","4cyl","Normal","1","CVT","4","5","Wagon","4","Petrol 91RON","166","207","142","7.3","9.1","6.2","","","Euro 6","74","2700","No","2025","178","2.32","1676"
"2018","Subaru","","Liberty","2.5i","2.5","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","166","207","142","7.3","9.1","6.2","","","Euro 6","76","3750","No","2025","178","2.32","1676"
"2018","Subaru","","Liberty","2.5i-Premium","2.5","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","166","207","142","7.3","9.1","6.2","","","Euro 6","76","3750","No","2025","178","2.32","1676"
"2022","Honda","","CR-V","Black Edition","1.5","4cyl","Turbo","1","CVT","4","5","SUV","2","Petrol 91RON","166","209","141","7.3","9.2","6.2","","","Euro 5","72","3750","Yes","0","178","2.32","1676"
